#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         514     4.05303     4.22831  0.00872766
         515     4.06341     4.22799  0.00871658
         516     4.07447     4.22769  0.00870476
         517     4.08594     4.22742  0.00869224
         518     4.09756     4.22717  0.00867908
         519      4.1091     4.22694  0.00866534
         520     4.12034     4.22674   0.0086511
         521     4.13112     4.22655  0.00863644
         522      4.1413     4.22639  0.00862144
         523     4.15078     4.22625  0.00860616
         524     4.15949     4.22612  0.00859068
         525     4.16739     4.22601  0.00857505
         526     4.17445     4.22591  0.00855931
         527     4.18067     4.22582   0.0085435
         528     4.18606     4.22575  0.00852765
         529     4.19065     4.22568  0.00851178
         530     4.19446     4.22562  0.00849593
         531     4.19753     4.22557  0.00848009
         532      4.1999     4.22552  0.00846429
         533      4.2016     4.22548  0.00844853
         534     4.20267     4.22543  0.00843282
         535     4.20316     4.22539  0.00841716
         536     4.20311     4.22535  0.00840156
         537     4.20254     4.22531  0.00838602
         538     4.20151     4.22526  0.00837055
         539     4.20004     4.22522  0.00835515
         540     4.19819     4.22517  0.00833982
         541       4.196     4.22511  0.00832458
         542     4.19352     4.22505  0.00830943
         543      4.1908     4.22499  0.00829437
         544      4.1879     4.22492   0.0082794
         545     4.18487     4.22485  0.00826453
         546     4.18178     4.22477  0.00824977
         547      4.1787     4.22469  0.00823512
         548      4.1757      4.2246  0.00822058
         549     4.17285      4.2245  0.00820615
         550     4.17022      4.2244  0.00819182
         551     4.16789      4.2243  0.00817759
         552     4.16591      4.2242  0.00816346
         553     4.16436     4.22409  0.00814942
         554     4.16327     4.22398  0.00813545
         555      4.1627     4.22387  0.00812154
         556     4.16267     4.22376  0.00810768
         557      4.1632     4.22365  0.00809385
         558      4.1643     4.22354  0.00808004
         559     4.16596     4.22344  0.00806625
         560     4.16816     4.22334  0.00805245
         561     4.17087     4.22325  0.00803864
         562     4.17403     4.22316  0.00802481
         563      4.1776     4.22308  0.00801096
         564     4.18153       4.223   0.0079971
         565     4.18573     4.22294  0.00798322
         566     4.19015     4.22288  0.00796932
         567     4.19472     4.22283  0.00795542
         568     4.19936     4.22279  0.00794152
         569     4.20402     4.22276  0.00792763
         570     4.20863     4.22273  0.00791376
         571     4.21313     4.22272  0.00789992
         572     4.21747     4.22271  0.00788612
         573      4.2216      4.2227  0.00787235
         574     4.22548     4.22271  0.00785864
         575     4.22908     4.22272  0.00784498
         576     4.23237     4.22274  0.00783138
         577     4.23533     4.22276  0.00781784
         578     4.23793     4.22278  0.00780436
         579     4.24016     4.22281  0.00779093
         580     4.24202     4.22285  0.00777757
         581     4.24349     4.22288  0.00776427
         582     4.24458     4.22292  0.00775102
         583     4.24528     4.22296  0.00773782
         584      4.2456       4.223  0.00772466
         585     4.24554     4.22304  0.00771155
         586     4.24511     4.22307  0.00769849
         587     4.24432     4.22311  0.00768546
         588     4.24317     4.22314  0.00767246
         589     4.24168     4.22318   0.0076595
         590     4.23985      4.2232  0.00764657
         591      4.2377     4.22323  0.00763367
         592     4.23524     4.22325   0.0076208
         593     4.23247     4.22326  0.00760797
         594     4.22942     4.22327  0.00759517
         595     4.22608     4.22328   0.0075824
         596     4.22248     4.22328  0.00756968
         597     4.21862     4.22327  0.00755701
         598     4.21451     4.22326  0.00754438
         599     4.21016     4.22323  0.00753182
         600     4.20559      4.2232  0.00751932
         601     4.20079     4.22317  0.00750691
         602     4.19579     4.22312  0.00749457
         603     4.19059     4.22307  0.00748234
         604     4.18519     4.22301  0.00747021
         605     4.17962     4.22293  0.00745821
         606     4.17387     4.22285  0.00744634
         607     4.16796     4.22276  0.00743462
         608     4.16191     4.22266  0.00742307
         609     4.15571     4.22255  0.00741169
         610     4.14939     4.22243  0.00740051
         611     4.14296      4.2223  0.00738955
         612     4.13642     4.22216   0.0073788
         613     4.12981     4.22201   0.0073683
         614     4.12313     4.22185  0.00735806
         615      4.1164     4.22168   0.0073481
         616     4.10963      4.2215  0.00733842
         617     4.10285      4.2213  0.00732904
         618     4.09608      4.2211  0.00731999
         619     4.08933     4.22089  0.00731125
         620     4.08262     4.22067  0.00730286
         621     4.07596     4.22043  0.00729482
         622     4.06938     4.22019  0.00728713
         623      4.0629     4.21994  0.00727981
         624     4.05652     4.21968  0.00727285
         625     4.05025      4.2194  0.00726626
         626     4.04412     4.21912  0.00726005
         627     4.03814     4.21884  0.00725421
         628      4.0323     4.21854  0.00724873
         629     4.02663     4.21823  0.00724363
         630     4.02113     4.21792  0.00723888
         631      4.0158      4.2176   0.0072345
         632     4.01067     4.21727  0.00723045
         633     4.00573     4.21694  0.00722675
         634       4.001      4.2166  0.00722337
         635     3.99649     4.21625  0.00722031
         636     3.99222      4.2159  0.00721755
         637      3.9882     4.21554  0.00721506
         638     3.98446     4.21518  0.00721284
         639     3.98101     4.21481  0.00721085
         640     3.97789     4.21444  0.00720908
         641     3.97511     4.21407   0.0072075
         642     3.97271     4.21369  0.00720607
         643     3.97072     4.21332  0.00720477
         644     3.96915     4.21294  0.00720355
         645     3.96803     4.21256  0.00720238
         646     3.96739     4.21218  0.00720122
         647     3.96722      4.2118  0.00720004
         648     3.96755     4.21142  0.00719879
         649     3.96836     4.21105  0.00719743
         650     3.96964     4.21068  0.00719593
         651     3.97139     4.21031  0.00719426
         652     3.97357     4.20995  0.00719238
         653     3.97614     4.20959  0.00719028
         654     3.97907     4.20923  0.00718792
         655      3.9823     4.20889  0.00718529
         656     3.98579     4.20855  0.00718238
         657     3.98947     4.20821  0.00717918
         658      3.9933     4.20789   0.0071757
         659     3.99721     4.20757  0.00717193
         660     4.00115     4.20726  0.00716788
         661     4.00508     4.20695  0.00716355
         662     4.00893     4.20665  0.00715898
         663     4.01268     4.20636  0.00715415
         664     4.01628     4.20607   0.0071491
         665      4.0197     4.20579  0.00714385
         666     4.02292     4.20552  0.00713839
         667     4.02591     4.20525  0.00713277
         668     4.02867     4.20498  0.00712699
         669     4.03118     4.20472  0.00712107
         670     4.03344     4.20447  0.00711503
         671     4.03545     4.20422  0.00710888
         672     4.03721     4.20397  0.00710264
         673     4.03872     4.20372  0.00709633
         674     4.04001     4.20348  0.00708996
         675     4.04107     4.20324  0.00708354
         676     4.04192       4.203  0.00707708
         677     4.04258     4.20276  0.00707059
         678     4.04306     4.20253  0.00706408
         679     4.04337     4.20229  0.00705757
         680     4.04354     4.20206  0.00705105
         681     4.04357     4.20183  0.00704454
         682      4.0435     4.20159  0.00703803
         683     4.04332     4.20136  0.00703154
         684     4.04306     4.20113  0.00702507
         685     4.04274      4.2009  0.00701862
         686     4.04238     4.20067  0.00701219
         687     4.04199     4.20044  0.00700578
         688     4.04158     4.20021   0.0069994
         689     4.04118     4.19998  0.00699305
         690      4.0408     4.19975  0.00698672
         691     4.04045     4.19952  0.00698041
         692     4.04014     4.19928  0.00697412
         693      4.0399     4.19906  0.00696785
         694     4.03972     4.19883  0.00696159
         695     4.03962      4.1986  0.00695534
         696     4.03961     4.19837   0.0069491
         697     4.03969     4.19814  0.00694286
         698     4.03987     4.19791  0.00693661
         699     4.04014     4.19769  0.00693036
         700     4.04051     4.19746   0.0069241
         701     4.04098     4.19724  0.00691782
         702     4.04153     4.19702  0.00691152
         703     4.04218      4.1968  0.00690519
         704      4.0429     4.19658  0.00689884
         705      4.0437     4.19636  0.00689247
         706     4.04456     4.19615  0.00688606
         707     4.04547     4.19593  0.00687961
         708     4.04642     4.19572  0.00687314
         709      4.0474     4.19551  0.00686663
         710     4.04839     4.19531  0.00686008
         711     4.04939      4.1951   0.0068535
         712     4.05038      4.1949  0.00684689
         713     4.05136      4.1947  0.00684025
         714      4.0523      4.1945  0.00683357
         715     4.05321      4.1943  0.00682687
         716     4.05407      4.1941  0.00682015
         717     4.05486     4.19391   0.0068134
         718      4.0556     4.19372  0.00680663
         719     4.05626     4.19353  0.00679985
         720     4.05684     4.19334  0.00679305
         721     4.05733     4.19315  0.00678625
         722     4.05773     4.19296  0.00677944
         723     4.05804     4.19277  0.00677263
         724     4.05824     4.19259  0.00676583
         725     4.05835      4.1924  0.00675903
         726     4.05834     4.19222  0.00675224
         727     4.05823     4.19203  0.00674547
         728       4.058     4.19185  0.00673871
         729     4.05766     4.19167  0.00673198
