#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         462     2.84001     2.82607  0.00633347
         463     2.83713     2.82609  0.00631983
         464     2.83431     2.82611  0.00630624
         465     2.83153     2.82612  0.00629269
         466     2.82882     2.82612  0.00627919
         467     2.82616     2.82612  0.00626574
         468     2.82356     2.82612  0.00625236
         469       2.821     2.82611  0.00623903
         470     2.81847     2.82609  0.00622578
         471     2.81596     2.82607   0.0062126
         472     2.81345     2.82604  0.00619949
         473     2.81092     2.82601  0.00618647
         474     2.80834     2.82597  0.00617353
         475     2.80571     2.82593  0.00616068
         476     2.80299     2.82588  0.00614793
         477     2.80018     2.82583  0.00613527
         478     2.79727     2.82577  0.00612273
         479     2.79424      2.8257   0.0061103
         480     2.79108     2.82563    0.006098
         481      2.7878     2.82555  0.00608583
         482      2.7844     2.82547   0.0060738
         483     2.78087     2.82538  0.00606193
         484     2.77723     2.82528  0.00605022
         485     2.77347     2.82517  0.00603869
         486      2.7696     2.82506  0.00602734
         487     2.76562     2.82493   0.0060162
         488     2.76154      2.8248  0.00600528
         489     2.75735     2.82467  0.00599458
         490     2.75304     2.82452  0.00598413
         491     2.74861     2.82436  0.00597394
         492     2.74405      2.8242  0.00596402
         493     2.73935     2.82403  0.00595441
         494      2.7345     2.82385  0.00594511
         495     2.72951     2.82366  0.00593616
         496     2.72439     2.82346  0.00592756
         497     2.71915     2.82325  0.00591935
         498     2.71385     2.82303  0.00591154
         499     2.70853      2.8228  0.00590414
         500     2.70328     2.82256  0.00589717
         501     2.69819     2.82231  0.00589062
         502      2.6934     2.82205  0.00588448
         503     2.68904     2.82179  0.00587872
         504     2.68527     2.82152   0.0058733
         505     2.68222     2.82124  0.00586814
         506     2.68006     2.82096  0.00586317
         507     2.67891     2.82068   0.0058583
         508     2.67886      2.8204  0.00585342
         509     2.67998     2.82013  0.00584841
         510     2.68228     2.81986  0.00584319
         511     2.68573      2.8196  0.00583765
         512     2.69025     2.81934  0.00583171
         513     2.69573      2.8191  0.00582532
         514     2.70202     2.81887  0.00581844
         515     2.70894     2.81866  0.00581105
         516     2.71632     2.81846  0.00580318
         517     2.72396     2.81828  0.00579483
         518     2.73171     2.81811  0.00578605
         519      2.7394     2.81796  0.00577689
         520     2.74689     2.81782   0.0057674
         521     2.75408      2.8177  0.00575763
         522     2.76087     2.81759  0.00574762
         523     2.76719      2.8175  0.00573744
         524       2.773     2.81741  0.00572712
         525     2.77826     2.81734   0.0057167
         526     2.78296     2.81727   0.0057062
         527     2.78711     2.81721  0.00569566
         528     2.79071     2.81716   0.0056851
         529     2.79376     2.81712  0.00567452
         530     2.79631     2.81708  0.00566395
         531     2.79835     2.81705   0.0056534
         532     2.79993     2.81701  0.00564286
         533     2.80107     2.81698  0.00563235
         534     2.80178     2.81696  0.00562188
         535     2.80211     2.81693  0.00561144
         536     2.80207      2.8169  0.00560104
         537     2.80169     2.81687  0.00559068
         538       2.801     2.81684  0.00558036
         539     2.80003     2.81681   0.0055701
         540      2.7988     2.81678  0.00555988
         541     2.79734     2.81674  0.00554972
         542     2.79568      2.8167  0.00553962
         543     2.79387     2.81666  0.00552958
         544     2.79193     2.81662   0.0055196
         545     2.78991     2.81657  0.00550969
         546     2.78785     2.81651  0.00549985
         547      2.7858     2.81646  0.00549008
         548      2.7838      2.8164  0.00548039
         549      2.7819     2.81634  0.00547076
         550     2.78015     2.81627  0.00546121
         551     2.77859      2.8162  0.00545173
         552     2.77727     2.81613  0.00544231
         553     2.77624     2.81606  0.00543295
         554     2.77551     2.81599  0.00542363
         555     2.77513     2.81591  0.00541436
         556     2.77511     2.81584  0.00540512
         557     2.77547     2.81577   0.0053959
         558      2.7762     2.81569   0.0053867
         559     2.77731     2.81563   0.0053775
         560     2.77877     2.81556   0.0053683
         561     2.78058      2.8155  0.00535909
         562     2.78269     2.81544  0.00534987
         563     2.78507     2.81539  0.00534064
         564     2.78768     2.81534   0.0053314
         565     2.79049     2.81529  0.00532214
         566     2.79343     2.81525  0.00531288
         567     2.79648     2.81522  0.00530361
         568     2.79958     2.81519  0.00529435
         569     2.80268     2.81517  0.00528509
         570     2.80575     2.81515  0.00527584
         571     2.80875     2.81514  0.00526661
         572     2.81164     2.81514  0.00525741
         573      2.8144     2.81514  0.00524824
         574     2.81699     2.81514  0.00523909
         575     2.81939     2.81515  0.00522999
         576     2.82158     2.81516  0.00522092
         577     2.82355     2.81517  0.00521189
         578     2.82529     2.81519   0.0052029
         579     2.82678     2.81521  0.00519396
         580     2.82801     2.81523  0.00518505
         581       2.829     2.81526  0.00517618
         582     2.82972     2.81528  0.00516734
         583     2.83019     2.81531  0.00515854
         584      2.8304     2.81533  0.00514978
         585     2.83036     2.81536  0.00514104
         586     2.83008     2.81538  0.00513232
         587     2.82955     2.81541  0.00512364
         588     2.82878     2.81543  0.00511497
         589     2.82779     2.81545  0.00510633
         590     2.82657     2.81547  0.00509771
         591     2.82513     2.81549  0.00508911
         592     2.82349      2.8155  0.00508054
         593     2.82165     2.81551  0.00507198
         594     2.81961     2.81552  0.00506344
         595     2.81739     2.81552  0.00505494
         596     2.81499     2.81552  0.00504645
         597     2.81241     2.81551    0.005038
         598     2.80967      2.8155  0.00502959
         599     2.80677     2.81549  0.00502121
         600     2.80372     2.81547  0.00501288
         601     2.80053     2.81544   0.0050046
         602     2.79719     2.81541  0.00499638
         603     2.79373     2.81538  0.00498823
         604     2.79013     2.81534  0.00498014
