#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         688     1.15254     1.16105  0.00859408
         689      1.1521     1.16104  0.00858162
         690     1.15165     1.16102  0.00856919
         691     1.15121     1.16101   0.0085568
         692     1.15077     1.16099  0.00854445
         693     1.15036     1.16098  0.00853213
         694     1.14997     1.16096  0.00851986
         695     1.14963     1.16095  0.00850761
         696     1.14933     1.16093  0.00849541
         697     1.14908     1.16091  0.00848323
         698      1.1489     1.16089   0.0084711
         699     1.14878     1.16088    0.008459
         700     1.14873     1.16086  0.00844693
         701     1.14877     1.16084   0.0084349
         702     1.14888     1.16083   0.0084229
         703     1.14908     1.16081  0.00841093
         704     1.14936     1.16079    0.008399
         705     1.14972     1.16078   0.0083871
         706     1.15016     1.16076  0.00837524
         707     1.15067     1.16075   0.0083634
         708     1.15125     1.16073   0.0083516
         709      1.1519     1.16072  0.00833983
         710     1.15261     1.16071  0.00832809
         711     1.15336      1.1607  0.00831639
         712     1.15415     1.16069  0.00830471
         713     1.15496     1.16068  0.00829307
         714     1.15579     1.16068  0.00828146
         715     1.15662     1.16067  0.00826987
         716     1.15744     1.16067  0.00825833
         717     1.15824     1.16066  0.00824681
         718       1.159     1.16066  0.00823532
         719     1.15971     1.16066  0.00822387
         720     1.16036     1.16066  0.00821245
         721     1.16094     1.16066  0.00820106
         722     1.16144     1.16066   0.0081897
         723     1.16184     1.16066  0.00817837
         724     1.16214     1.16066  0.00816708
         725     1.16234     1.16067  0.00815581
         726     1.16241     1.16067  0.00814458
         727     1.16237     1.16067  0.00813337
         728      1.1622     1.16067   0.0081222
         729      1.1619     1.16067  0.00811106
         730     1.16148     1.16068  0.00809995
