#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         567    -5.31279    -5.57365   0.0155069
         568     -5.3171     -5.5732   0.0154862
         569     -5.3223    -5.57276   0.0154652
         570    -5.32686    -5.57232   0.0154441
         571    -5.33182     -5.5719   0.0154228
         572    -5.33733    -5.57149   0.0154013
         573      -5.342    -5.57109   0.0153796
         574    -5.34704     -5.5707   0.0153578
         575    -5.35199    -5.57032   0.0153358
         576    -5.35728    -5.56995   0.0153136
         577    -5.36246    -5.56959   0.0152913
         578    -5.36768    -5.56924   0.0152688
         579    -5.37353     -5.5689   0.0152462
         580     -5.3791    -5.56858   0.0152234
         581    -5.38486    -5.56826   0.0152005
         582    -5.39019    -5.56796   0.0151775
         583      -5.396    -5.56766   0.0151543
         584    -5.40169    -5.56738    0.015131
         585    -5.40727     -5.5671   0.0151076
         586    -5.41258    -5.56684   0.0150841
         587    -5.41823    -5.56659   0.0150606
         588    -5.42393    -5.56634   0.0150369
         589    -5.42982    -5.56611   0.0150132
         590    -5.43561    -5.56589   0.0149893
         591    -5.44098    -5.56568   0.0149655
         592    -5.44716    -5.56548   0.0149415
         593    -5.45291    -5.56529   0.0149175
         594    -5.45899    -5.56511   0.0148935
         595    -5.46523    -5.56494   0.0148694
         596    -5.47073    -5.56478   0.0148453
         597    -5.47681    -5.56464   0.0148212
         598    -5.48211     -5.5645    0.014797
         599    -5.48812    -5.56437   0.0147729
         600    -5.49344    -5.56425   0.0147487
         601    -5.49913    -5.56414   0.0147246
         602    -5.50484    -5.56405   0.0147005
         603    -5.51072    -5.56396   0.0146763
         604    -5.51597    -5.56388   0.0146523
         605    -5.52059    -5.56381   0.0146282
         606    -5.52515    -5.56374   0.0146042
         607    -5.52918    -5.56369   0.0145803
         608    -5.53327    -5.56364   0.0145564
         609    -5.53756    -5.56359   0.0145325
         610    -5.54188    -5.56356   0.0145088
         611    -5.54502    -5.56353    0.014485
         612    -5.54802     -5.5635   0.0144614
         613    -5.55057    -5.56348   0.0144378
         614    -5.55239    -5.56346   0.0144143
         615    -5.55482    -5.56345   0.0143909
         616    -5.55697    -5.56344   0.0143675
         617    -5.55869    -5.56343   0.0143442
         618     -5.5603    -5.56343    0.014321
         619    -5.56135    -5.56342   0.0142979
         620    -5.56276    -5.56342   0.0142748
         621    -5.56304    -5.56342   0.0142518
         622    -5.56357    -5.56342   0.0142289
         623    -5.56406    -5.56342   0.0142061
         624    -5.56407    -5.56342   0.0141833
         625    -5.56394    -5.56342   0.0141606
         626    -5.56413    -5.56342    0.014138
         627    -5.56391    -5.56343   0.0141155
         628    -5.56359    -5.56343    0.014093
         629    -5.56335    -5.56343   0.0140706
         630    -5.56305    -5.56342   0.0140482
         631    -5.56271    -5.56342    0.014026
         632    -5.56278    -5.56342   0.0140038
         633    -5.56193    -5.56342   0.0139817
         634    -5.56151    -5.56342   0.0139596
         635    -5.56049    -5.56341   0.0139376
         636    -5.55976    -5.56341   0.0139157
         637    -5.55948     -5.5634   0.0138939
         638    -5.55906    -5.56339   0.0138721
         639    -5.55878    -5.56339   0.0138504
         640    -5.55821    -5.56338   0.0138288
         641    -5.55779    -5.56337   0.0138072
         642    -5.55722    -5.56336   0.0137857
         643    -5.55695    -5.56335   0.0137642
         644    -5.55638    -5.56334   0.0137429
         645    -5.55566    -5.56333   0.0137216
         646    -5.55539    -5.56332   0.0137003
         647    -5.55421     -5.5633   0.0136792
         648    -5.55334    -5.56329   0.0136581
         649    -5.55323    -5.56327    0.013637
         650    -5.55223    -5.56325   0.0136161
         651    -5.55186    -5.56324   0.0135952
         652    -5.55152    -5.56322   0.0135743
         653    -5.55121     -5.5632   0.0135535
         654    -5.55096    -5.56318   0.0135328
         655    -5.55046    -5.56316   0.0135122
         656    -5.55002    -5.56314   0.0134916
         657    -5.54935    -5.56312   0.0134711
         658    -5.54877     -5.5631   0.0134506
         659    -5.54856    -5.56308   0.0134302
         660    -5.54889    -5.56305   0.0134099
